GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
2424850,160,24,,,,,,Eden CDP,823,369,793,335,823,793
2424925,160,24,,,,,,Edesville CDP,169,92,,,169,
2424950,160,24,,,,,,Edgemere CDP,8669,3653,9248,3764,8669,9248
2425000,160,24,,,,,,Edgemont CDP,231,102,,,231,
2425050,160,24,,,,,,Edgewater CDP,9023,3878,,,9023,
2425150,160,24,,,,,,Edgewood CDP,25562,9821,23378,8834,25562,23378
2425425,160,24,,,,,,Edmonston town,1445,483,959,330,1445,959
2425575,160,24,,,,,,Eldersburg CDP,30531,10844,27741,9382,30531,27741
2425600,160,24,,,,,,Eldorado town,59,26,60,29,59,60
2425750,160,24,,,,,,Elkridge CDP,15593,6066,22042,8719,15593,22042
2425800,160,24,,,,,,Elkton town,15443,5944,11893,4743,15443,11893
2425925,160,24,,,,,,Ellerslie CDP,572,260,,,572,
2426000,160,24,,,,,,Ellicott City CDP,65834,24672,56397,20789,65834,56397
2426025,160,24,,,,,,Elliott CDP,52,63,,,52,
2426200,160,24,,,,,,Emmitsburg town,2814,1070,2290,862,2814,2290
2426550,160,24,,,,,,Ernstville CDP,56,22,,,56,
2426600,160,24,,,,,,Essex CDP,39262,16635,39078,16997,39262,39078
2427250,160,24,,,,,,Fairland CDP,23681,9356,21738,8918,23681,21738
2427325,160,24,,,,,,Fairlee CDP,490,235,,,490,
2427375,160,24,,,,,,Fairmount CDP,457,267,537,275,457,537
2427400,160,24,,,,,,Fairmount Heights town,1494,589,1508,561,1494,1508
2427425,160,24,,,,,,Fairplay CDP,580,202,,,580,
2427500,160,24,,,,,,Fairview CDP,76,30,,,76,
2427580,160,24,,,,,,Fairwood CDP,5031,1643,,,5031,
2427700,160,24,,,,,,Fallston CDP,8958,3216,8427,2906,8958,8427
2427900,160,24,,,,,,Federalsburg town,2739,1191,2620,1130,2739,2620
2428075,160,24,,,,,,Ferndale CDP,16746,6625,16056,6443,16746,16056
2428275,160,24,,,,,,Finzel CDP,547,225,,,547,
2428300,160,24,,,,,,Fishing Creek CDP,163,122,,,163,
2428425,160,24,,,,,,Flintstone CDP,177,80,,,177,
2428640,160,24,,,,,,Forest Glen CDP,6582,2732,7344,3091,6582,7344
2428725,160,24,,,,,,Forest Heights town,2447,927,2585,945,2447,2585
2429000,160,24,,,,,,Forestville CDP,12353,4878,12707,4951,12353,12707
2429400,160,24,,,,,,Fort Meade CDP,9327,2731,9882,2813,9327,9882
2429450,160,24,,,,,,Fort Ritchie CDP,314,111,276,335,314,276
2429525,160,24,,,,,,Fort Washington CDP,23717,8681,23845,8621,23717,23845
2429712,160,24,,,,,,Fountainhead-Orchard Hills CDP,5666,2370,3844,1621,5666,3844
2429790,160,24,,,,,,Four Corners CDP,7945,2913,,,7945,
2430100,160,24,,,,,,Franklin CDP,290,100,,,290,
2430325,160,24,,,,,,Frederick city,65239,27559,52767,22106,65239,52767
2430567,160,24,,,,,,Frenchtown-Rumbly CDP,100,94,96,97,100,96
2430575,160,24,,,,,,Friendly CDP,9250,3272,10938,3636,9250,10938
2430650,160,24,,,,,,Friendship CDP,447,161,,,447,
2430800,160,24,,,,,,Friendship Heights Village CDP,4698,3265,,,4698,
2430850,160,24,,,,,,Friendsville town,491,272,539,266,491,539
2430900,160,24,,,,,,Frostburg city,9002,3497,7873,3123,9002,7873
2430950,160,24,,,,,,Fruitland city,4866,2045,3774,1594,4866,3774
2431025,160,24,,,,,,Fulton CDP,2049,751,,,2049,
2431100,160,24,,,,,,Funkstown town,904,460,983,464,904,983
2431175,160,24,,,,,,Gaithersburg city,59933,23337,52613,20674,59933,52613
2431225,160,24,,,,,,Galena town,612,284,428,202,612,428
2431250,160,24,,,,,,Galestown town,138,57,101,51,138,101
2431275,160,24,,,,,,Galesville CDP,684,325,,,684,
2431350,160,24,,,,,,Gambrills CDP,2800,1008,,,2800,
2431400,160,24,,,,,,Gapland CDP,109,43,,,109,
2431525,160,24,,,,,,Garrett Park town,992,401,917,356,992,917
2431575,160,24,,,,,,Garretts Mill CDP,234,106,,,234,
2431625,160,24,,,,,,Garrison CDP,8823,4102,7969,3696,8823,7969
2431875,160,24,,,,,,Georgetown CDP,143,60,,,143,
2432025,160,24,,,,,,Germantown CDP,86395,31807,55419,21568,86395,55419
2432175,160,24,,,,,,Gilmore CDP,127,58,,,127,
2432250,160,24,,,,,,Girdletree CDP,149,81,117,56,149,117
2432350,160,24,,,,,,Glassmanor CDP,17295,7348,,,17295,
2432500,160,24,,,,,,Glenarden city,6000,2256,6318,2167,6000,6318
2432650,160,24,,,,,,Glen Burnie CDP,67639,28013,38922,15902,67639,38922
2432900,160,24,,,,,,Glen Echo town,255,100,242,93,255,242
2433250,160,24,,,,,,Glenmont CDP,13529,4848,,,13529,
2433400,160,24,,,,,,Glenn Dale CDP,13466,4429,12609,4165,13466,12609
2433850,160,24,,,,,,Golden Beach CDP,3796,1389,2665,970,3796,2665
2433950,160,24,,,,,,Goldsboro town,246,97,216,84,246,216
2434150,160,24,,,,,,Gorman CDP,106,54,,,106,
2434425,160,24,,,,,,Grahamtown CDP,364,178,,,364,
2434525,160,24,,,,,,Grantsville town,766,397,619,298,766,619
2434550,160,24,,,,,,Grasonville CDP,3425,1399,2193,948,3425,2193
2434775,160,24,,,,,,Greenbelt city,23068,10433,21456,10180,23068,21456
2435200,160,24,,,,,,Greensboro town,1931,798,1632,674,1931,1632
2435225,160,24,,,,,,Greensburg CDP,229,96,,,229,
2436075,160,24,,,,,,Hagerstown city,39662,18682,36687,17089,39662,36687
2436125,160,24,,,,,,Halfway CDP,10701,4725,10065,4424,10701,10065
2436500,160,24,,,,,,Hampstead town,6323,2500,5060,1851,6323,5060
2436512,160,24,,,,,,Hampton CDP,5052,1940,5004,1935,5052,5004
2436600,160,24,,,,,,Hancock town,1545,821,1725,803,1545,1725
2437600,160,24,,,,,,Havre de Grace city,12952,5875,11331,4904,12952,11331
2437875,160,24,,,,,,Hebron town,1084,457,807,325,1084,807
2437925,160,24,,,,,,Henderson town,146,51,118,46,146,118
2438025,160,24,,,,,,Herald Harbor CDP,2603,1154,2313,1022,2603,2313
2438437,160,24,,,,,,Highfield-Cascade CDP,1112,499,1141,479,1112,1141
2438475,160,24,,,,,,Highland CDP,1034,342,,,1034,
2438500,160,24,,,,,,Highland Beach town,96,74,109,80,96,109
2438850,160,24,,,,,,Hillandale CDP,6043,2085,3054,1110,6043,3054
2438975,160,24,,,,,,Hillcrest Heights CDP,16469,7462,16359,7190,16469,16359
2439175,160,24,,,,,,Hillsboro town,161,75,163,78,161,163
2440700,160,24,,,,,,Hughesville CDP,2197,750,1537,529,2197,1537
2441037,160,24,,,,,,Huntingtown CDP,3311,1053,2436,784,3311,2436
2441125,160,24,,,,,,Hurlock town,2092,903,1874,772,2092,1874
2441175,160,24,,,,,,Hutton CDP,86,38,,,86,
2441250,160,24,,,,,,Hyattsville city,17557,6837,14733,5795,17557,14733
2441475,160,24,,,,,,Ilchester CDP,23476,8809,,,23476,
2441500,160,24,,,,,,Indian Head town,3844,1554,3422,1311,3844,3422
2441700,160,24,,,,,,Indian Springs CDP,64,27,,,64,
2442325,160,24,,,,,,Jarrettsville CDP,2916,1026,2756,918,2916,2756
2442350,160,24,,,,,,Jefferson CDP,2111,822,,,2111,
2442450,160,24,,,,,,Jennings CDP,113,53,,,113,
2442550,160,24,,,,,,Jessup CDP,7137,548,7865,398,7137,7865
2442575,160,24,,,,,,Jesterville CDP,188,104,,,188,
2442875,160,24,,,,,,Joppatowne CDP,12616,5057,11391,4530,12616,11391
2442950,160,24,,,,,,Jugtown CDP,204,75,,,204,
2443100,160,24,,,,,,Keedysville town,1152,407,482,188,1152,482
2443200,160,24,,,,,,Kemp Mill CDP,12564,4664,9956,3448,12564,9956
2443280,160,24,,,,,,Kemps Mill CDP,126,57,,,126,
2443475,160,24,,,,,,Kennedyville CDP,199,97,,,199,
2443500,160,24,,,,,,Kensington town,2213,902,1873,768,2213,1873
2443725,160,24,,,,,,Kent Narrows CDP,567,415,567,358,567,567
2443900,160,24,,,,,,Kettering CDP,12790,5126,11008,3958,12790,11008
2444325,160,24,,,,,,Kingstown CDP,1733,805,1644,719,1733,1644
2444350,160,24,,,,,,Kingsville CDP,4318,1639,4214,1522,4318,4214
2444450,160,24,,,,,,Kitzmiller town,321,158,302,155,321,302
2444525,160,24,,,,,,Klondike CDP,118,48,,,118,
2444715,160,24,,,,,,Konterra CDP,2527,1076,,,2527,
2444817,160,24,,,,,,Lake Arbor CDP,9776,4322,8533,3662,9776,8533
2444975,160,24,,,,,,Lake Shore CDP,19477,7375,13065,4784,19477,13065
2445325,160,24,,,,,,Landover CDP,23078,8645,,,23078,
2445400,160,24,,,,,,Landover Hills town,1687,549,1534,566,1687,1534
2445525,160,24,,,,,,Langley Park CDP,18755,5367,16214,4716,18755,16214
2445550,160,24,,,,,,Lanham CDP,10157,3207,,,10157,
2445650,160,24,,,,,,Lansdowne CDP,8409,3255,,,8409,
2445750,160,24,,,,,,La Plata town,8753,3234,6551,2308,8753,6551
2445825,160,24,,,,,,Largo CDP,10709,4622,8408,3709,10709,8408
2445900,160,24,,,,,,Laurel city,25115,11397,19960,9506,25115,19960
2446075,160,24,,,,,,La Vale CDP,3551,1646,4613,2045,3551,4613
2446150,160,24,,,,,,Layhill CDP,5169,1775,,,5169,
2446250,160,24,,,,,,Laytonsville town,353,133,277,107,353,277
2446375,160,24,,,,,,Leisure World CDP,8749,6391,,,8749,
2446400,160,24,,,,,,Leitersburg CDP,573,241,523,226,573,523
2446475,160,24,,,,,,Leonardtown town,2930,1156,1896,646,2930,1896
2446725,160,24,,,,,,Lexington Park CDP,11626,5124,11021,4630,11626,11021
2446800,160,24,,,,,,Libertytown CDP,950,397,,,950,
2447040,160,24,,,,,,Linganore CDP,8543,2929,,,8543,
2447125,160,24,,,,,,Linthicum CDP,10324,4185,7539,2950,10324,7539
2447275,160,24,,,,,,Little Orleans CDP,42,37,,,42,
2447450,160,24,,,,,,Lochearn CDP,25333,10427,25269,10229,25333,25269
2447525,160,24,,,,,,Loch Lynn Heights town,552,228,469,202,552,469
2447875,160,24,,,,,,Lonaconing town,1214,525,1205,559,1214,1205
2448025,160,24,,,,,,Long Beach CDP,1821,768,,,1821,
2448775,160,24,,,,,,Luke town,65,61,80,58,65,80
2448800,160,24,,,,,,Lusby CDP,1835,717,1666,656,1835,1666
2448875,160,24,,,,,,Lutherville CDP,6504,2785,,,6504,
2449325,160,24,,,,,,McCoole CDP,511,243,,,511,
2449700,160,24,,,,,,Madison CDP,204,114,,,204,
2449950,160,24,,,,,,Manchester town,4808,1713,3329,1176,4808,3329
2450375,160,24,,,,,,Mapleville CDP,238,94,,,238,
2450525,160,24,,,,,,Mardela Springs town,347,160,364,159,347,364
2450680,160,24,,,,,,Marlboro Meadows CDP,3672,1290,,,3672,
2450685,160,24,,,,,,Marlboro Village CDP,9438,3797,,,9438,
2450750,160,24,,,,,,Marlow Heights CDP,5618,2441,6059,2427,5618,6059
2450775,160,24,,,,,,Marlton CDP,9031,3498,7798,2932,9031,7798
2450965,160,24,,,,,,Martin's Additions village,933,329,875,312,933,875
