GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
2463950,160,24,,,,,,Prince Frederick CDP,2538,1111,1432,616,2538,1432
2464000,160,24,,,,,,Princess Anne town,3290,1500,2313,1117,3290,2313
2464375,160,24,,,,,,Pylesville CDP,693,242,,,693,
2464475,160,24,,,,,,Quantico CDP,133,55,,,133,
2464495,160,24,,,,,,Queen Anne CDP,1280,438,,,1280,
2464500,160,24,,,,,,Queen Anne town,222,89,176,72,222,176
2464535,160,24,,,,,,Queenland CDP,1929,680,,,1929,
2464600,160,24,,,,,,Queenstown town,664,294,617,279,664,617
2464950,160,24,,,,,,Randallstown CDP,32430,12634,30870,11900,32430,30870
2465150,160,24,,,,,,Rawlings CDP,693,300,,,693,
2465312,160,24,,,,,,Redland CDP,17242,5596,16998,5425,17242,16998
2465550,160,24,,,,,,Reid CDP,54,22,,,54,
2465600,160,24,,,,,,Reisterstown CDP,25968,10594,22438,9081,25968,22438
2466000,160,24,,,,,,Ridgely town,1639,667,1352,553,1639,1352
2466150,160,24,,,,,,Ringgold CDP,166,72,,,166,
2466275,160,24,,,,,,Rising Sun town,2781,1137,1702,716,2781,1702
2466400,160,24,,,,,,Riva CDP,4076,1569,3966,1453,4076,3966
2466635,160,24,,,,,,Riverdale Park town,6956,2058,6690,2321,6956,6690
2466762,160,24,,,,,,Riverside CDP,6425,2579,6128,2466,6425,6128
2466850,160,24,,,,,,Riviera Beach CDP,12677,5098,12695,4950,12677,12695
2467000,160,24,,,,,,Robinwood CDP,6918,3044,4731,1985,6918,4731
2467400,160,24,,,,,,Rock Hall town,1310,930,1396,834,1310,1396
2467500,160,24,,,,,,Rock Point CDP,107,59,,,107,
2467675,160,24,,,,,,Rockville city,61209,25199,47388,17786,61209,47388
2467950,160,24,,,,,,Rohrersville CDP,175,69,170,64,175,170
2468300,160,24,,,,,,Rosaryville CDP,10697,3625,12322,4267,10697,12322
2468400,160,24,,,,,,Rosedale CDP,19257,7606,19199,7518,19257,19199
2468600,160,24,,,,,,Rosemont village,294,118,273,106,294,273
